,#,Date,Category,Winner,Movie,Wikipedia_URL
198,59th,"March 30, 1987",Best Film Editing,False,Hannah and Her Sisters,https://en.wikipedia.org/wiki/59th_Academy_Awards
199,59th,"March 30, 1987",Best Film Editing,False,The Mission,https://en.wikipedia.org/wiki/59th_Academy_Awards
200,59th,"March 30, 1987",Best Film Editing,False,Top Gun,https://en.wikipedia.org/wiki/59th_Academy_Awards
201,59th,"March 30, 1987",Best Visual Effects,True,Aliens,https://en.wikipedia.org/wiki/59th_Academy_Awards
202,59th,"March 30, 1987",Best Visual Effects,False,Little Shop of Horrors,https://en.wikipedia.org/wiki/59th_Academy_Awards
203,59th,"March 30, 1987",Best Visual Effects,False,Poltergeist II: The Other Side,https://en.wikipedia.org/wiki/59th_Academy_Awards
204,60th,"April 11, 1988",Best Picture,True,The Last Emperor,https://en.wikipedia.org/wiki/60th_Academy_Awards
205,60th,"April 11, 1988",Best Picture,False,Broadcast News,https://en.wikipedia.org/wiki/60th_Academy_Awards
206,60th,"April 11, 1988",Best Picture,False,Fatal Attraction,https://en.wikipedia.org/wiki/60th_Academy_Awards
207,60th,"April 11, 1988",Best Picture,False,Hope and Glory,https://en.wikipedia.org/wiki/60th_Academy_Awards
208,60th,"April 11, 1988",Best Picture,False,Moonstruck,https://en.wikipedia.org/wiki/60th_Academy_Awards
209,60th,"April 11, 1988",Best Directing,True,The Last Emperor,https://en.wikipedia.org/wiki/60th_Academy_Awards
210,60th,"April 11, 1988",Best Directing,False,Fatal Attraction,https://en.wikipedia.org/wiki/60th_Academy_Awards
211,60th,"April 11, 1988",Best Directing,False,Hope and Glory,https://en.wikipedia.org/wiki/60th_Academy_Awards
212,60th,"April 11, 1988",Best Directing,False,Moonstruck,https://en.wikipedia.org/wiki/60th_Academy_Awards
213,60th,"April 11, 1988",Best Directing,False,My Life as a Dog,https://en.wikipedia.org/wiki/60th_Academy_Awards
214,60th,"April 11, 1988",Best Actor in a Leading Role,True,Wall Street,https://en.wikipedia.org/wiki/60th_Academy_Awards
215,60th,"April 11, 1988",Best Actor in a Leading Role,False,Broadcast News,https://en.wikipedia.org/wiki/60th_Academy_Awards
216,60th,"April 11, 1988",Best Actor in a Leading Role,False,Dark Eyes,https://en.wikipedia.org/wiki/60th_Academy_Awards
217,60th,"April 11, 1988",Best Actor in a Leading Role,False,Ironweed,https://en.wikipedia.org/wiki/60th_Academy_Awards
218,60th,"April 11, 1988",Best Actor in a Leading Role,False,"Good Morning, Vietnam",https://en.wikipedia.org/wiki/60th_Academy_Awards
219,60th,"April 11, 1988",Best Actress in a Leading Role,True,Moonstruck,https://en.wikipedia.org/wiki/60th_Academy_Awards
220,60th,"April 11, 1988",Best Actress in a Leading Role,False,Fatal Attraction,https://en.wikipedia.org/wiki/60th_Academy_Awards
221,60th,"April 11, 1988",Best Actress in a Leading Role,False,Broadcast News,https://en.wikipedia.org/wiki/60th_Academy_Awards
